,,2004,2005,2006,2007,2008,2009,2010,2011,2012r,2013r,2014p,,2013r-2014p,,,Area,Population density 2014
LGA code,Local Government Area,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,%,no.,,km2,persons/km2
,,,,,,,,,,,,,,,,,,
36960,Torres Strait Island (R),4400,4485,4548,4577,4606,4609,4600,4578,4572,4562,4619,,1.2,57,,489.2,9.4
37010,Townsville (C),151172,155330,159482,163509,168503,173067,176528,180114,184546,189017,192038,,1.6,3021,,3727.4,51.5
37300,Weipa (T),2507,2721,2902,3133,3246,3303,3337,3423,3655,3791,3856,,1.7,65,,10.8,356.3
37310,Western Downs (R),28655,28837,29122,29520,30235,30893,31466,32365,32932,33405,33653,,0.7,248,,37938.5,0.9
37340,Whitsunday (R),28977,29606,30255,30759,31337,31838,32140,32416,33332,33981,34211,,0.7,230,,23804.4,1.4
37400,Winton (S),1473,1454,1423,1403,1372,1371,1359,1380,1379,1380,1379,,-0.1,-1,,53814.4,0
37550,Woorabinda (S),943,915,886,902,916,934,957,976,992,995,1002,,0.7,7,,390.3,2.6
37570,Wujal Wujal (S),347,342,336,325,319,311,297,287,286,285,291,,2.1,6,,11.2,26
37600,Yarrabah (S),2365,2410,2468,2498,2531,2535,2588,2595,2639,2678,2687,,0.3,9,,158.8,16.9
,,,,,,,,,,,,,,,,,,
,TOTAL QUEENSLAND,3829970,3918494,4007992,4111018,4219505,4328771,4404744,4476778,4568205,4651912,4722447,,1.5,70535,,1729958.1,2.7
